description,avg_gross_charge,description_clean
LANSOPRAZOLE 15 MG TBLD,62.25,lansoprazole 15 mg tbld
LANTHANUM 500 MG CHEW,80.0,lanthanum 500 mg chew
LAP BALLOON DISSECTOR,519.75,lap balloon dissector
LAPAROSCOPIC RETRIEVER,186.32,laparoscopic retriever
LAPROSCOPIC GELPORT,1083.0,laproscopic gelport
LAPROSCOPIC SUPPLIES,112.75,laproscopic supplies
"LARYNGOSCOPY, FLEXIBLE FI",249.5,"laryngoscopy, flexible fi"
"LARYNGOSCOPY, FLEXIBLE, D",249.5,"laryngoscopy, flexible, d"
LASER VAPORIZATION OF PRO,16199.75,laser vaporization of pro
"LASSO, QUICK PASS",504.0,"lasso, quick pass"
LATANOPROST 0.005 % DROP,19.75,latanoprost 0.005 % drop
LAVACUATOR 28 FR,26.54,lavacuator 28 fr
"LAVAGE STOMACH TUBE, 30 F",21.75,"lavage stomach tube, 30 f"
LAVAGE TRAY,139.9,lavage tray
LAYER CLOSURE 2.6CM TO 7.,729.25,layer closure 2.6cm to 7.
LAYER CLOSURE UP TO 2.5 C,635.25,layer closure up to 2.5 c
LECITHIN 1200MG CAP,2.0,lecithin 1200mg cap
LECTROC SUCTION/TONSILS,619.67,lectroc suction/tonsils
LEDIPASVIR-SOFOSBUVIR 90-400 MG TAB,2160.75,ledipasvir-sofosbuvir 90-400 mg tab
LEFLUNOMIDE 10 MG TAB,7.0,leflunomide 10 mg tab
LEFLUNOMIDE 20 MG TAB,10.25,leflunomide 20 mg tab
LEG HOLDER BLUE,89.5,leg holder blue
LEGAL ALCOHOL,199.0,legal alcohol
LENALIDOMIDE 10 MG CAP,2343.25,lenalidomide 10 mg cap
LENALIDOMIDE 5 MG CAP,842.5,lenalidomide 5 mg cap
LENS GLIDE,28.5,lens glide
LENS HOOK,142.0,lens hook
LENVATINIB 8 MG/DAY (4 MG X 2) CAP,1872.25,lenvatinib 8 mg/day (4 mg x 2) cap
LESION REMOVAL,423.5,lesion removal
LETROZOLE 2.5 MG TAB,5.25,letrozole 2.5 mg tab
LEUCOVORIN CALCIUM 100 MG SOLR,80.0,leucovorin calcium 100 mg solr
LEUCOVORIN CALCIUM 200 MG SOLR,365.0,leucovorin calcium 200 mg solr
LEUCOVORIN CALCIUM 350 MG SOLR,129.75,leucovorin calcium 350 mg solr
LEUCOVORIN CALCIUM 500 MG VIAL,544.0,leucovorin calcium 500 mg vial
LEUKO RED CELL PROC FEE (,566.75,leuko red cell proc fee (
LEUKOCYTE COUNT (WBC) FEC,86.25,leukocyte count (wbc) fec
LEUKOREDUCED IRR RED CELL,886.25,leukoreduced irr red cell
LEUKOTAPE,19.0,leukotape
LEUPROLIDE (1 MONTH) 7.5 MG SYKT,3686.5,leuprolide (1 month) 7.5 mg sykt
LEUPROLIDE (3 MONTH) 11.25 MG SYKT,6822.5,leuprolide (3 month) 11.25 mg sykt
LEUPROLIDE (3 MONTH) 22.5 MG KIT,7819.5,leuprolide (3 month) 22.5 mg kit
LEUPROLIDE (4 MONTH) 30 MG SYKT,9886.0,leuprolide (4 month) 30 mg sykt
LEUPROLIDE (6 MONTH) 45 MG SYKT,12418.75,leuprolide (6 month) 45 mg sykt
LEUPROLIDE 3.75 MG SYKT,3354.25,leuprolide 3.75 mg sykt
LEUPROLIDE ACETATE (3 MONTH-SUBQ) 22.5 MG SYRG,1726.0,leuprolide acetate (3 month-subq) 22.5 mg syrg
LEUPROLIDE ACETATE (6 MONTH) 45 MG SYRG,2326.0,leuprolide acetate (6 month) 45 mg syrg
LEVALBUTEROL 0.63 MG/3 ML NEBU,3.5,levalbuterol 0.63 mg/3 ml nebu
LEVALBUTEROL 1.25 MG/3 ML NEBU,6.0,levalbuterol 1.25 mg/3 ml nebu
LEVALBUTEROL TARTRATE 45 MCG/ACTUATION HFAA,102.0,levalbuterol tartrate 45 mcg/actuation hfaa
LEVINE TRAY,192.41,levine tray
LEVINE TUBE RUBBER 16-18,53.25,levine tube rubber 16-18
LEVMEFOLATE-B6 PHOS-METHYL-B12 3-35-2 MG TAB,14.25,levmefolate-b6 phos-methyl-b12 3-35-2 mg tab
LEVOBUNOLOL 0.25 % DROP,39.75,levobunolol 0.25 % drop
LEVOBUNOLOL 0.5 % DROP,54.625,levobunolol 0.5 % drop
LEVOCETIRIZINE 5 MG TAB,29.0,levocetirizine 5 mg tab
LEVOFLOXACIN 250 MG TAB,4.5,levofloxacin 250 mg tab
LEVOFLOXACIN 500 MG TAB,5.5,levofloxacin 500 mg tab
LEVOFLOXACIN 500 MG/20 ML PGBK,225.25,levofloxacin 500 mg/20 ml pgbk
LEVOFLOXACIN 750 MG TAB,10.0,levofloxacin 750 mg tab
LEVOFLOXACIN IN D5W 750 MG/150 ML PGBK,38.0,levofloxacin in d5w 750 mg/150 ml pgbk
LEVOMEFOLATE CALCIUM 15 MG TAB,23.0,levomefolate calcium 15 mg tab
LEVOMEFOLATE CALCIUM 7.5 MG TAB,20.75,levomefolate calcium 7.5 mg tab
LEVOMILNACIPRAN 40 MG CS24,97.75,levomilnacipran 40 mg cs24
LEVONORGESTREL 18.6 MCG/24 HR (3 YEARS) IUD,1379.75,levonorgestrel 18.6 mcg/24 hr (3 years) iud
LEVONORGESTREL 20 MCG/24 HR (5 YEARS) IUD,1662.0,levonorgestrel 20 mcg/24 hr (5 years) iud
LEVONORGESTREL-ETHINYL ESTRAD 0.1-20 MG-MCG TAB,7.5,levonorgestrel-ethinyl estrad 0.1-20 mg-mcg tab
LEVOTHYROXINE 100 MCG SOLR,344.75,levothyroxine 100 mcg solr
LEVOTHYROXINE 100 MCG TAB,5.0,levothyroxine 100 mcg tab
LEVOTHYROXINE 112 MCG TAB,2.0,levothyroxine 112 mcg tab
LEVOTHYROXINE 125 MCG TAB,6.0,levothyroxine 125 mcg tab
LEVOTHYROXINE 150 MCG TAB,8.25,levothyroxine 150 mcg tab
LEVOTHYROXINE 25 MCG TAB,4.0,levothyroxine 25 mcg tab
LEVOTHYROXINE 50 MCG TAB,6.25,levothyroxine 50 mcg tab
LEVOTHYROXINE 75 MCG TAB,2.0,levothyroxine 75 mcg tab
LEVOTHYROXINE 88 MCG TAB,2.0,levothyroxine 88 mcg tab
LEVOTHYROXINE/LIOTHYRONINE 15 MG TAB,10.75,levothyroxine/liothyronine 15 mg tab
LEVOTHYROXINE/LIOTHYRONINE 60 MG TAB,9.0,levothyroxine/liothyronine 60 mg tab
LEVOTHYROXINE/LIOTHYRONINE 90 MG TAB,15.0,levothyroxine/liothyronine 90 mg tab
LEVOleucovorin CALCIUM 50 MG SOLR,500.0,levoleucovorin calcium 50 mg solr
LIDOCAINE (CARDIAC) 2% 100 MG/5 ML (2 %) SYRG,55.25,lidocaine (cardiac) 2% 100 mg/5 ml (2 %) syrg
LIDOCAINE (JELLY) - TOPICAL ONLY! 20 MG/ML (2 %) JELLY,22.25,lidocaine (jelly) - topical only! 20 mg/ml (2 %) jelly
LIDOCAINE (MDV) 1% 10 MG/ML (1 %) VIAL,42.75,lidocaine (mdv) 1% 10 mg/ml (1 %) vial
LIDOCAINE (MDV) 2% 20 MG/ML (2 %) VIAL,38.0,lidocaine (mdv) 2% 20 mg/ml (2 %) vial
LIDOCAINE (PF) 0.5% 5 MG/ML (0.5 %) VIAL,38.0,lidocaine (pf) 0.5% 5 mg/ml (0.5 %) vial
LIDOCAINE (PF) 1% 10 MG/ML (1 %) VIAL,38.0,lidocaine (pf) 1% 10 mg/ml (1 %) vial
LIDOCAINE (PF) 2% 20 MG/ML (2 %) VIAL,38.0,lidocaine (pf) 2% 20 mg/ml (2 %) vial
LIDOCAINE (PF) 4% 40 MG/ML (4 %) VIAL,38.0,lidocaine (pf) 4% 40 mg/ml (4 %) vial
LIDOCAINE (PF) OPTH GEL 3.5 % GEL,89.75,lidocaine (pf) opth gel 3.5 % gel
LIDOCAINE (VISCOUS) - ORAL ONLY 20MG/ML (2 %) VISCOUS,132.0625,lidocaine (viscous) - oral only 20mg/ml (2 %) viscous
LIDOCAINE 4 % PTMD,12.5,lidocaine 4 % ptmd
LIDOCAINE 4 % SOLN,97.75,lidocaine 4 % soln
LIDOCAINE 5 % OINT,22.25,lidocaine 5 % oint
LIDOCAINE 5 %(700 MG/PATCH) PTMD,12.5,lidocaine 5 %(700 mg/patch) ptmd
LIDOCAINE 5%/DEXTROSE 7.5% (PF) 50 MG/ML (5 %) SOLN,70.75,lidocaine 5%/dextrose 7.5% (pf) 50 mg/ml (5 %) soln
LIDOCAINE IN D5W (4 mg/mL) 4 MG/ML (0.4 %) SOLP,39.75,lidocaine in d5w (4 mg/ml) 4 mg/ml (0.4 %) solp
LIDOCAINE IN D5W (8 mg/mL) 8 MG/ML (0.8 %) SOLP,38.0,lidocaine in d5w (8 mg/ml) 8 mg/ml (0.8 %) solp
LIDOCAINE IN D5W SOLP (4,75.75,lidocaine in d5w solp (4
LIDOCAINE XYLOCAINE,33.0,lidocaine xylocaine
LIDOCAINE-PRILOCAINE 2.5-2.5 % CREA,43.0,lidocaine-prilocaine 2.5-2.5 % crea
LIDOCAINE/EPINEPHRINE (MDV) 1 %-1:100000 SOLN,68.41666666666667,lidocaine/epinephrine (mdv) 1 %-1:100000 soln
LIDOCAINE/EPINEPHRINE (MDV) 2 %-1:100000 SOLN,38.0,lidocaine/epinephrine (mdv) 2 %-1:100000 soln
LIDOCAINE/EPINEPHRINE (PF) 1 %-1:200000 SOLN,104.0,lidocaine/epinephrine (pf) 1 %-1:200000 soln
LIDOCAINE/EPINEPHRINE (PF) 2 %-1:200000 SOLN,132.5,lidocaine/epinephrine (pf) 2 %-1:200000 soln
LIDOCAINE/EPINEPHRINE (SPINAL) 1.5 %-1:200000 SOLN,38.0,lidocaine/epinephrine (spinal) 1.5 %-1:200000 soln
LIFEBAND,374.07,lifeband
LIFT LOOP FLITES,98.33,lift loop flites
LIFT REPOSITIONING SLING,240.0,lift repositioning sling
"LIG RECONTRUCTION, KNEE I",2487.125,"lig recontruction, knee i"
"LIGATOR, MULTI-BAND, HEMO",138.0,"ligator, multi-band, hemo"
LILETTA 19.5 MCG/24 HR 52,896.0,liletta 19.5 mcg/24 hr 52
LIMITED CERVICAL W/O CONT,2533.0,limited cervical w/o cont
LIMITED OB FOLLOW-UP PER,426.0,limited ob follow-up per
LIMITED SINUS W/O CONTRAS,1982.25,limited sinus w/o contras
LINACLOTIDE 145 MCG CAP,103.5,linaclotide 145 mcg cap
LINACLOTIDE 290 MCG CAP,103.5,linaclotide 290 mcg cap
LINACLOTIDE 72 MCG CAP,103.5,linaclotide 72 mcg cap
LINAGLIPTIN 5 MG TAB,87.5,linagliptin 5 mg tab
LINCOMYCIN 300 MG/ML SOLN,712.0,lincomycin 300 mg/ml soln
LINCOMYCIN HCL 300MG,11.5,lincomycin hcl 300mg
LINEZOLID 600 MG TAB,21.0,linezolid 600 mg tab
LINEZOLID 600 MG/300 ML PGBK,69.0,linezolid 600 mg/300 ml pgbk
LIOTHYRONINE 25 MCG TAB,6.75,liothyronine 25 mcg tab
LIOTHYRONINE 5 MCG TAB,7.75,liothyronine 5 mcg tab
LIP BIOPSY,267.75,lip biopsy
LIPASE-PROTEASE-AMYLASE 12000-38000-60000 UNIT CPDR,36.0,lipase-protease-amylase 12000-38000-60000 unit cpdr
LIPASE-PROTEASE-AMYLASE 24000-76000-120000 UNIT CPDR,61.0,lipase-protease-amylase 24000-76000-120000 unit cpdr
LIPASE-PROTEASE-AMYLASE 36000-114000-180000 UNIT CPDR,79.5,lipase-protease-amylase 36000-114000-180000 unit cpdr
LIPASE-PROTEASE-AMYLASE 5000-17000-27000 UNIT CPDR,9.75,lipase-protease-amylase 5000-17000-27000 unit cpdr
LIPASE-PROTEASE-AMYLASE 6000-19000-30000 UNIT CPDR,21.5,lipase-protease-amylase 6000-19000-30000 unit cpdr
LIPASE-PROTEASE-AMYLASE 8000-30000-30000 UNIT TAB,2.0,lipase-protease-amylase 8000-30000-30000 unit tab
LIPID PROFILE,149.0,lipid profile
LIQUA CLIP,11.16,liqua clip
LIRAGLUTIDE 0.6 MG/0.1 ML (18 MG/3 ML) PNIJ,1109.5,liraglutide 0.6 mg/0.1 ml (18 mg/3 ml) pnij
LISDEXAMFETAMINE 20 MG CAP,81.25,lisdexamfetamine 20 mg cap
LISDEXAMFETAMINE 40 MG CAP,81.25,lisdexamfetamine 40 mg cap
LISDEXAMFETAMINE 50 MG CAP,81.25,lisdexamfetamine 50 mg cap
LISDEXAMFETAMINE 60 MG CAP,81.25,lisdexamfetamine 60 mg cap
LISDEXAMFETAMINE 70 MG CAP,81.25,lisdexamfetamine 70 mg cap
LISINOPRIL 20 MG TAB,2.0,lisinopril 20 mg tab
LISINOPRIL 5 MG TAB,2.0,lisinopril 5 mg tab
LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG TAB,2.0,lisinopril-hydrochlorothiazide 10-12.5 mg tab
LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5 MG TAB,7.25,lisinopril-hydrochlorothiazide 20-12.5 mg tab
LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25 MG TAB,2.0,lisinopril-hydrochlorothiazide 20-25 mg tab
LITHIUM 300 MG TAB,2.0,lithium 300 mg tab
LITHIUM CARBONATE SR 300 MG TBER,2.75,lithium carbonate sr 300 mg tber
LITHIUM CARBONATE SR 450 MG TBER,5.75,lithium carbonate sr 450 mg tber
LITHROTRIPSY,15970.0,lithrotripsy
LIVER SCAN,1525.75,liver scan
LIVER SPLEEN SCAN,2028.0,liver spleen scan
LOCAL PUDENDAL TRAY,43.5,local pudendal tray
LONG ARM CAST,328.25,long arm cast
LONG ARM SPLINT,220.75,long arm splint
LONG LEG CAST,447.25,long leg cast
LOOPOGRAM,610.25,loopogram
LOPERAMIDE 1 MG/7.5 ML LIQD,2.75,loperamide 1 mg/7.5 ml liqd
LOPERAMIDE 2 MG CAP,2.5,loperamide 2 mg cap
LOPEZ VALUE,8.28,lopez value
LOPINAVIR/RITONAVIR 200-50 MG TAB,64.0,lopinavir/ritonavir 200-50 mg tab
LORATADINE (CHEWABLE) 5 MG CHEW,15.0,loratadine (chewable) 5 mg chew
LORATADINE 10 MG TAB,2.0,loratadine 10 mg tab
LORATADINE 5 MG/5 ML SOLN,2.25,loratadine 5 mg/5 ml soln
LORATADINE-PSEUDOEPHEDRINE 10-240 MG TB24,8.75,loratadine-pseudoephedrine 10-240 mg tb24
LORazepam 0.5 MG TAB,2.0,lorazepam 0.5 mg tab
LORazepam 1 MG TAB,2.0,lorazepam 1 mg tab
LORazepam 2 MG/ML CONC,4.5,lorazepam 2 mg/ml conc
LORazepam 2 MG/ML VIAL,40.75,lorazepam 2 mg/ml vial
LORazepam 4 MG/ML VIAL,38.0,lorazepam 4 mg/ml vial
LOSARTAN 25 MG TAB,2.0,losartan 25 mg tab
LOSARTAN 50 MG TAB,3.25,losartan 50 mg tab
LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5 MG TAB,2.0,losartan-hydrochlorothiazide 100-12.5 mg tab
LOSARTAN/HYDROCHLOROTHIAZIDE 100-25 MG TAB,48.5,losartan/hydrochlorothiazide 100-25 mg tab
LOSARTAN/HYDROCHLOROTHIAZIDE 50-12.5 MG TAB,27.5,losartan/hydrochlorothiazide 50-12.5 mg tab
LOTEPREDNOL ETABONATE 0.5 % DRPG,663.75,loteprednol etabonate 0.5 % drpg
LOVASTATIN 20 MG TAB,2.0,lovastatin 20 mg tab
LOW EXT JOINTS W/CONTR RT,3617.5,low ext joints w/contr rt
LOW EXT JOINTS WO/W CONT,4018.75,low ext joints wo/w cont
LOW EXT JTS ONLY W/O CONT,2943.5,low ext jts only w/o cont
LOWER EXT JOINTS W/CONTR,3617.5,lower ext joints w/contr
LOWER EXT WO/W CONTRAST L,3892.75,lower ext wo/w contrast l
LOWER EXT WO/W CONTRAST R,3892.75,lower ext wo/w contrast r
LOWER EXTREMITY INFANT 2+,102.0,lower extremity infant 2+
LOWER EXTREMITY W/CONTRAS,3111.75,lower extremity w/contras
LOWER EXTREMITY W/O CONTR,3092.0,lower extremity w/o contr
LOWER LEG 1-2 VIEWS,90.5,lower leg 1-2 views
LOWER LEG INC ONE JOINT L,342.5,lower leg inc one joint l
"LOWER LEG, INC ONE JOINT",342.5,"lower leg, inc one joint"
LOXAPINE SUCCINATE 25 MG CAP,15.0,loxapine succinate 25 mg cap
LS  B CELLS TOTAL COUNT,119.5,ls b cells total count
LS 17-HYDROXY CORTICOSTER,296.75,ls 17-hydroxy corticoster
"LS 17-KETOSTEROIDS, URINE",291.0,"ls 17-ketosteroids, urine"
LS ACID FAST BACILLUS CUL,204.5,ls acid fast bacillus cul
LS ACID FAST BACTERIA CUL,204.5,ls acid fast bacteria cul
LS ACID PHOSPHATASE PROST,98.25,ls acid phosphatase prost
LS ACID PHOSPHATASE TOTAL,119.25,ls acid phosphatase total
"LS ACTH, BLOOD, (A)",326.75,"ls acth, blood, (a)"
LS ALDOSTERONE SERUM,318.75,ls aldosterone serum
LS ALPHA-1-ANTITRYPSIN,183.75,ls alpha-1-antitrypsin
"LS ALPHA-FETOPROTEIN, (M)",139.25,"ls alpha-fetoprotein, (m)"
"LS AMIKACIN, PEAK OR TROU",168.25,"ls amikacin, peak or trou"
"LS AMINO ACID, SINGLE, QU",205.0,"ls amino acid, single, qu"
LS AMMONIA,160.5,ls ammonia
LS ANA SCREEN,140.75,ls ana screen
LS ANGIOTENSION CONVERTIN,166.75,ls angiotension convertin
LS ANTI HISTONE ANTIBODIE,125.25,ls anti histone antibodie
LS ANTI-THROMBIN ACTIVITY,192.75,ls anti-thrombin activity
LS ANTI-THROMBIN ANTIGEN,278.5,ls anti-thrombin antigen
LS ANTI-THYROID ANTIBODY,149.0,ls anti-thyroid antibody
"LS ANTIBODY, FUNGUS",172.75,"ls antibody, fungus"
"LS ARSENIC, QUAL.,URINE",178.5,"ls arsenic, qual.,urine"
LS ASCORBIC ACID (VITAMIN,161.75,ls ascorbic acid (vitamin
LS ASO SCREEN,109.25,ls aso screen
LS BCR/ ABL QUANT,1060.75,ls bcr/ abl quant
LS BETA 2 MICROGLOBULIN,161.5,ls beta 2 microglobulin
LS BODY FLUID CRYSTALS,91.75,ls body fluid crystals
LS C-PEPTIDE,182.0,ls c-peptide
LS CA125,202.75,ls ca125
LS CAL R EXON 9 MUTATION,923.0,ls cal r exon 9 mutation
LS CALCITONIN,334.25,ls calcitonin
LS CALCIUM IONIZED,150.5,ls calcium ionized
LS CALPROTECTIN,557.0,ls calprotectin
LS CANCER ANTIGEN 27-29,239.5,ls cancer antigen 27-29
LS CARBOHYDRATE ANTIGEN C,234.0,ls carbohydrate antigen c
LS CARDIOLIPIN ANTIBODY E,234.0,ls cardiolipin antibody e
LS CAROTENE,159.5,ls carotene
"LS CATECHOLAMINES, TOTAL",368.25,"ls catecholamines, total"
LS CEA 1,183.0,ls cea 1
LS CERULOPLASMIN,125.0,ls ceruloplasmin
LS CHLAMYDIA,155.75,ls chlamydia
LS CHLAMYDIA ANTIBODIES I,133.75,ls chlamydia antibodies i
LS CHOLINESTERASE RBC,108.75,ls cholinesterase rbc
LS CHOLINESTERASE SERUM,105.75,ls cholinesterase serum
LS CHROMATIN AB IGG,209.5,ls chromatin ab igg
LS CHROMOGRANIN,243.5,ls chromogranin
LS CITRIC ACID URINE 24 H,247.0,ls citric acid urine 24 h
LS CLOTTING FAC VIII FAC,352.0,ls clotting fac viii fac
LS CLOTTING FAC VIII VW A,314.75,ls clotting fac viii vw a
LS CLOTTING FACTOR VII ON,441.75,ls clotting factor vii on
LS CLOZAPINE,289.75,ls clozapine
LS CMV ANTIBODIES IGG,182.5,ls cmv antibodies igg
LS CMV ANTIBODIES IGM,158.25,ls cmv antibodies igm
LS COCCIDIODIES ANTIBODIE,134.25,ls coccidiodies antibodie
LS COLD AGGLUTININS QUANT,164.5,ls cold agglutinins quant
LS COMPLEMENT C3,122.5,ls complement c3
LS COMPLEMENT C4,122.5,ls complement c4
LS COMPLEMENT TOTAL,190.25,ls complement total
"LS COPPER,SERUM OR URINE,",182.5,"ls copper,serum or urine,"
LS CORTISOL,175.75,ls cortisol
LS COVID 19,403.0,ls covid 19
LS COVID IGG ANTIBODY,120.25,ls covid igg antibody
"LS CREATININE CLEARANCE,",131.5,"ls creatinine clearance,"
LS CYCLOSPORINE,199.0,ls cyclosporine
LS CYSTATIN C,430.25,ls cystatin c
LS CYTOLOGY URINE,152.75,ls cytology urine
LS DECALCIFICATION,82.5,ls decalcification
LS DEPAKENE (VALPROIC ACI,183.5,ls depakene (valproic aci
LS DHEA SERUM,342.25,ls dhea serum
LS DHEA SULFATE,238.75,ls dhea sulfate
LS DILUTED VENOM,178.5,ls diluted venom
LS DNA ANTIBODY,122.75,ls dna antibody
LS ELASTASE STOOL,270.5,ls elastase stool
LS EPSTEIN BARR VIRUS VIR,161.5,ls epstein barr virus vir
LS EPSTEIN-BARR VIRUS EAR,147.0,ls epstein-barr virus ear
LS EPSTEIN-BARR VIRUS NUC,142.75,ls epstein-barr virus nuc
LS ERYTHROPOETIN,208.25,ls erythropoetin
LS ESTRADIOL,206.75,ls estradiol
LS ESTRIOL URINE OR SERUM,255.25,ls estriol urine or serum
"LS ESTROGENS, TOTAL",264.0,"ls estrogens, total"
LS ESTRONE (E1),275.75,ls estrone (e1)
LS ETHOSUXIMIDE,151.5,ls ethosuximide
LS ETHYLENE GLYCOL,107.0,ls ethylene glycol
LS EXTR NUCLEAR ANTIGEN E,125.25,ls extr nuclear antigen e
LS FACTOR V LEIDEN,521.5,ls factor v leiden
LS FECAL FATS 72 HR QUANT,198.75,ls fecal fats 72 hr quant
LS FECAL REDUCING SUBST S,23.25,ls fecal reducing subst s
LS FETAL HGB SCREEN (FETA,145.25,ls fetal hgb screen (feta
LS FETAL HGB SCREEN ROSET,155.0,ls fetal hgb screen roset
LS FIBRO DEG PRODUCT,245.0,ls fibro deg product
LS FLOW CYTOMETRY,737.5,ls flow cytometry
"LS FLOW CYTOMETRY, EACH A",1735.0,"ls flow cytometry, each a"
LS FLUORESCENT ANTIBODY S,209.25,ls fluorescent antibody s
LS FOLATES (FOLIC ACID),160.75,ls folates (folic acid)
"LS FOLATES, RBC",195.0,"ls folates, rbc"
LS FRUCTOSAMINE,120.0,ls fructosamine
LS FSH SERUM OR UA (M),165.5,ls fsh serum or ua (m)
LS GAMMA GLUTAMYL TRANSPE,98.75,ls gamma glutamyl transpe
LS GASTRIN,181.0,ls gastrin
LS GLUCAGON,246.25,ls glucagon
LS GONOCOCCUS DNA PROBE,154.75,ls gonococcus dna probe
LS GROWTH HORMONE (HGH),187.5,ls growth hormone (hgh)
LS HALDOL (HALOPERIDOL),151.5,ls haldol (haloperidol)
LS HAPTOGLOBIN,134.75,ls haptoglobin
LS HELI PYLORI ABS IGA,187.25,ls heli pylori abs iga
LS HELI PYLORI ABS IGM,187.25,ls heli pylori abs igm
LS HELI PYLORI ABS LGG,187.25,ls heli pylori abs lgg
LS HELI PYLORI SPEC ANTIG,245.25,ls heli pylori spec antig
LS HELICOBACTER PYLORI,283.0,ls helicobacter pylori
"LS HEMOGLOBIN, PLASMA",162.75,"ls hemoglobin, plasma"
"LS HEMOGLOBIN,ELECTROPHOR",289.75,"ls hemoglobin,electrophor"
LS HEP 1 & HEPC AB,373.5,ls hep 1 & hepc ab
LS HEP B VIRUS DNA QUANT,563.75,ls hep b virus dna quant
LS HEP C VIRUS RNA DETECT,514.75,ls hep c virus rna detect
LS HEPARIN ANTI Xa,408.25,ls heparin anti xa
LS HEPATITIS A ANTIBODIES,155.75,ls hepatitis a antibodies
LS HEPATITIS B CORE ANTIB,131.625,ls hepatitis b core antib
LS HEPATITIS B E ANTIBODY,128.0,ls hepatitis b e antibody
LS HEPATITIS B E ANTIGEN,182.0,ls hepatitis b e antigen
LS HEPATITIS B SURFACE AN,130.5,ls hepatitis b surface an
LS HEPATITIS C ANTIBODIES,149.0,ls hepatitis c antibodies
LS HEPITITIS A ANTIBODY I,142.5,ls hepititis a antibody i
LS HERPES SIMPLEX 1 & 11,150.0,ls herpes simplex 1 & 11
LS HGB-AIC (GLYCO HGB),96.0,ls hgb-aic (glyco hgb)
LS HIGH SENSITIVITY CRP (,122.5,ls high sensitivity crp (
LS HIV ANTIBODY DETECTION,119.0,ls hiv antibody detection
LS HIV RNA VIRAL LOAD,515.75,ls hiv rna viral load
LS HLA B 27,270.5,ls hla b 27
LS HOMOCYSTEINE,259.5,ls homocysteine
"LS HOMOVANILLIC ACID, URI",324.5,"ls homovanillic acid, uri"
LS IMMUNOFIXATION ELECTRO,233.75,ls immunofixation electro
"LS IMMUNOGLOBULIN A, D, G",167.0,"ls immunoglobulin a, d, g"
LS IMMUNOGLOBULIN E,179.0,ls immunoglobulin e
LS INSULIN TOTAL,162.25,ls insulin total
LS JAK 2 EXON12 MUTATION,826.25,ls jak 2 exon12 mutation
LS JAK 2 GENE V617F MUTAT,648.5,ls jak 2 gene v617f mutat
LS LAMOTRIGINE (LAMICTAL),198.5,ls lamotrigine (lamictal)
LS LEAD QUANT,101.5,ls lead quant
LS LEUCINE AMINOPEPTIDASE,181.75,ls leucine aminopeptidase
LS LIPASE,147.25,ls lipase
"LS LIPOPROTEIN, ELECTROPH",228.75,"ls lipoprotein, electroph"
LS LITHIUM,111.5,ls lithium
LS LUTEININZING HORMONE (,163.75,ls luteininzing hormone (
LS LYME DISEASE ANTIBODIE,219.75,ls lyme disease antibodie
LS MERCURY QUANT,173.75,ls mercury quant
"LS METANEPHRINES, URINE",317.5,"ls metanephrines, urine"
LS MICRO ALBUMIN,124.25,ls micro albumin
LS MUMPS ANTIBODIES IGG,129.25,ls mumps antibodies igg
LS MYELIN BASIC PROTEIN C,54.0,ls myelin basic protein c
LS MYOGLOBIN,166.0,ls myoglobin
LS NK TOTAL COUNT,162.25,ls nk total count
LS OLIGOCLONAL IMMUN,289.75,ls oligoclonal immun
"LS ORGANIC ACID, SINGLE Q",284.0,"ls organic acid, single q"
"LS OSMOLALITY, SERUM",119.25,"ls osmolality, serum"
"LS OSMOLALITY, URINE",181.5,"ls osmolality, urine"
"LS OXALATE, URINE (M)",144.25,"ls oxalate, urine (m)"
LS PAP SMEAR,57.5,ls pap smear
LS PAP SMEAR SYTOLOGIC VA,134.75,ls pap smear sytologic va
LS PERTUSSIS BY PCR,364.0,ls pertussis by pcr
"LS PH, BODY FLUID, NOS",55.5,"ls ph, body fluid, nos"
LS PHENOBARBITAL,178.5,ls phenobarbital
LS PLASMA FRACTION,139.25,ls plasma fraction
LS PLATELET FUNCTION TEST,185.5,ls platelet function test
LS PORPHOBILINOGEN 24 HR,136.25,ls porphobilinogen 24 hr
LS PRE ALBUMIN,136.0,ls pre albumin
LS PREGNANEDIOL URINE,377.0,ls pregnanediol urine
LS PREGNANETRIOL,377.0,ls pregnanetriol
LS PREGNENOLONE,372.25,ls pregnenolone
LS PROCAINAMIDE,173.25,ls procainamide
"LS PROGESTERONE, SERUM (A",178.5,"ls progesterone, serum (a"
LS PROLACTIN,206.25,ls prolactin
LS PROTEIN C ACTIVITY,255.75,ls protein c activity
LS PROTEIN ELECTROPHORESI,162.5,ls protein electrophoresi
LS PROTEIN S FUNCTIONAL,306.5,ls protein s functional
LS PSA FREE,167.0,ls psa free
LS QUANITITATION OF DRUG,265.25,ls quanititation of drug
LS QUINIDINE,141.75,ls quinidine
LS RENIN ACTIVITY,219.75,ls renin activity
LS REVERSE T3,435.75,ls reverse t3
LS RHEUMATOID FACTOR QUAN,84.75,ls rheumatoid factor quan
LS ROCKY MT SPOTTED FEVER,188.25,ls rocky mt spotted fever
LS ROTAVIRUS SCREEN,164.75,ls rotavirus screen
