description,avg_gross_charge,description_clean
INFECT AGENT; EHRLICHIA CHAFFEENSIS,86.0,infect agent; ehrlichia chaffeensis
INFECT ANTIGEN DETECT COVID INFLU A&B,265.0,infect antigen detect covid influ a&b
INFECTIOUS AGENT - COVID-19,160.0,infectious agent - covid-19
INFECTIOUS AGENT DETECTION NUCLEIC,400.0,infectious agent detection nucleic
"INFECTIOUS AGENT DETECTION, AMP TECH",335.0,"infectious agent detection, amp tech"
INFECTIOUS AGENT DETECTION; NOS,77.0,infectious agent detection; nos
"INFECTIOUS AGENT NOS, DNA, QUANT",255.0,"infectious agent nos, dna, quant"
INFECTIOUS AGENT RESPIRATORY VIRUS 6-11,735.0,infectious agent respiratory virus 6-11
INFECTIOUS AGNT DETCT COVID-19,125.0,infectious agnt detct covid-19
INFLIXIMAB,320.0,infliximab
INFLIXIMAB VIAL [100 MG],1198.0,infliximab vial [100 mg]
INFLUENZA,125.0,influenza
INFLUENZA A/B BY NAAT,250.0,influenza a/b by naat
INHALATION TREATMENT,240.0,inhalation treatment
INITIAL HOSPITAL VISIT LEVEL 1,214.0,initial hospital visit level 1
INITIAL HOSPITAL VISIT LEVEL 2,291.0,initial hospital visit level 2
INITIAL HOSPITAL VISIT LEVEL 3,380.0,initial hospital visit level 3
INITIAL NEWBORN CARE,185.0,initial newborn care
"INITIAL NF CARE, E/M, HIGH COMPLEXIT",320.0,"initial nf care, e/m, high complexit"
"INITIAL NF CARE, E/M, LOW COMPLEXITY",175.0,"initial nf care, e/m, low complexity"
"INITIAL NF CARE, E/M, MODERATE COMPL",255.0,"initial nf care, e/m, moderate compl"
INITIAL PREV MAINT NEW BENF FIRST 12MTHS,240.0,initial prev maint new benf first 12mths
INJ ANES/STER TRANSFORAMINAL EPI W/IMAGE,1900.0,inj anes/ster transforaminal epi w/image
INJ ANES/STEROID BRACH PLEXUS W/IMAGING,950.0,inj anes/steroid brach plexus w/imaging
INJ ANES/STEROID FEMORAL NERVE,900.0,inj anes/steroid femoral nerve
INJ ANES/STEROID OTHR PERI NERVE/BRANCH,480.0,inj anes/steroid othr peri nerve/branch
INJ ANES/STEROID SCIATIC NERVE W/IMAGING,600.0,inj anes/steroid sciatic nerve w/imaging
INJ OTHER PER NER/BRANCH,600.0,inj other per ner/branch
INJ SI JOINT ANES/STEROID WITH IMAGING,1150.0,inj si joint anes/steroid with imaging
INJ TRIGGER POINT,168.0,inj trigger point
INJECTION SINGLE TENDON ORIGIN/INSERTION,183.33333333333334,injection single tendon origin/insertion
INJECTOR NEEDLE,102.0,injector needle
INSERT/REPLACE P/S/G NEUROSTIMULATOR,800.0,insert/replace p/s/g neurostimulator
INSERTION NONBIODEGRADABLE DRUG DEL IMPL,340.0,insertion nonbiodegradable drug del impl
INSERTION OF NON-INDWELL BLADDER CAT,180.0,insertion of non-indwell bladder cat
INSERTION OF NON-INDWELL BLADDER CATH,180.0,insertion of non-indwell bladder cath
INSERTION OF TEMP INDWELLING BLADDER CAT,200.0,insertion of temp indwelling bladder cat
INSERTION OF TUNNELED CENTRAL VAD,3655.0,insertion of tunneled central vad
INSERTION TEMP DWELLING BLADDER CATH,200.0,insertion temp dwelling bladder cath
INSITU HYBRID; PER SPEC; INITIAL PROBE,265.0,insitu hybrid; per spec; initial probe
INSORB ABSORBABLE SKIN STAPLER 30MML,202.0,insorb absorbable skin stapler 30mml
INSTRUMENT KIT SM JOINT S-TAK,399.0,instrument kit sm joint s-tak
INSTRUMENT PACK,2555.0,instrument pack
INSUFFLATION TUBING SET,27.0,insufflation tubing set
"INSUFFLATION TUBING, ECONOMY 28-0207",17.5,"insufflation tubing, economy 28-0207"
INSULIN,146.0,insulin
INSULIN ANTIBODIES,85.0,insulin antibodies
INTERLEUKIN-6 (IL-6),170.0,interleukin-6 (il-6)
INTRALIPID 20% 250ML BAG IV,53.0,intralipid 20% 250ml bag iv
INTRALIPID BAG 20% [100 mL],56.0,intralipid bag 20% [100 ml]
INTRINSIC FACTOR BLOCKING ANTIBODY,238.0,intrinsic factor blocking antibody
INTUBATION ENDOTRACHEAL EMERG PROC,592.5,intubation endotracheal emerg proc
"IODINE, SERUM",230.0,"iodine, serum"
IONIZED CALCIUM SERUM,140.0,ionized calcium serum
IONTOPHORESIS,115.0,iontophoresis
IRON,75.0,iron
IRON BINDING CAPACITY,90.0,iron binding capacity
IRRIGATION IMPLANTED VAD DRUG DELIVERY,170.0,irrigation implanted vad drug delivery
IRRIGATION SYSTEM HANDPIECE,88.0,irrigation system handpiece
ISLET CELL ANTIBODIES,354.0,islet cell antibodies
ISOLATION OBSERV INITIAL DAY INTIAL HOUR,570.0,isolation observ initial day intial hour
ISOLATION OBSERV SUBSQ DAY EACH HR(24MAX,79.17,isolation observ subsq day each hr(24max
ISOLATION OBSV INTIAL DAY EACH SUBSQ HR,57.83,isolation obsv intial day each subsq hr
ISOSORBIDE 30MG TAB,2.5,isosorbide 30mg tab
IUD INSERTION,275.0,iud insertion
IV CONTRAST MRI 10 mL/1 mL,2.5,iv contrast mri 10 ml/1 ml
IV CONTRAST MRI 10 mL/1mL,2.5,iv contrast mri 10 ml/1ml
IV INFUSION BAMLANIVIMAB,440.0,iv infusion bamlanivimab
IV INFUSION BAMLANIVIMAB/ETESEVIMAB,440.0,iv infusion bamlanivimab/etesevimab
IV INFUSION CASIRIVIMAB/IMDEVIMAB,440.0,iv infusion casirivimab/imdevimab
IV INFUSION SOTRAVIMAB,515.0,iv infusion sotravimab
IV PUMP AND SUPPLIES,130.0,iv pump and supplies
IV START W/ NO IV SITE USED,135.0,iv start w/ no iv site used
IV TUBING SOLUTION SET VENTED WITH SPIKE,28.0,iv tubing solution set vented with spike
IV TUBING: BLOOD SOLUTION SET W/FILTER,42.0,iv tubing: blood solution set w/filter
IV TUBING: FILTER EXTENSION SET,20.0,iv tubing: filter extension set
IV TUBING: NON-DEHP EXTENSION SET,17.0,iv tubing: non-dehp extension set
IVERMECTIN TAB [3 MG],13.0,ivermectin tab [3 mg]
IgE,150.0,ige
JAK-2 (v617f) (MOLDX ZB37W),689.0,jak-2 (v617f) (moldx zb37w)
JAK2 (EXONS 12 AND 13),420.0,jak2 (exons 12 and 13)
JEJUNAL TUBE 14FR,416.0,jejunal tube 14fr
JOINT PREPARATION GUIDE,1134.0,joint preparation guide
K-WIRE 1.4MM X 150MM BLUNT/TROCAR,207.0,k-wire 1.4mm x 150mm blunt/trocar
K-WIRE 1.6MM 292.56,78.0,k-wire 1.6mm 292.56
K-WIRE 2.5MM X 150MM,218.0,k-wire 2.5mm x 150mm
K-WIRE CALIBRATED 1.1 MM,562.25,k-wire calibrated 1.1 mm
KAYEXALATE 15GM ORAL SUSPENSION,62.0,kayexalate 15gm oral suspension
KEFLEX 500MG CAPSULE,2.5,keflex 500mg capsule
KETAMINE 500 MG / 10 mL,7.5,ketamine 500 mg / 10 ml
KETOROLAC VIAL [30 MG/1 ML],10.0,ketorolac vial [30 mg/1 ml]
KII BALLOON BLUNT TIP SYSTEM 12X100MM,79.0,kii balloon blunt tip system 12x100mm
KINEVAC 5MCG PWD VIAL INJ,215.0,kinevac 5mcg pwd vial inj
KIT ANCHOR SYSTEM FLEXBAND TWIST 3.2,8093.0,kit anchor system flexband twist 3.2
KIT CANNULA/OBTURATOR,475.0,kit cannula/obturator
KIT DISPOSE TRANSTIBIAL ACL W/O BLADE,399.0,kit dispose transtibial acl w/o blade
KIT DISPOSE TRANSTIBIAL ACL W/SAW BLADE,495.0,kit dispose transtibial acl w/saw blade
KIT IMPLANT FIXATION,840.0,kit implant fixation
KIT PERCUTANEOUS INSERTION,781.0,kit percutaneous insertion
KIT SPY-MIS,381.0,kit spy-mis
KIT TRUMATCH CT PIN GUIDE LEFT,3074.0,kit trumatch ct pin guide left
"KLING 1""",4.0,"kling 1"""
KLONOPIN 0.5 MG TAB,3.0,klonopin 0.5 mg tab
KNEE ICE PAD LARGE 04703,107.0,knee ice pad large 04703
KNEE ICE PAD MEDIUM,98.0,knee ice pad medium
KNEE ICE PAD XL,134.0,knee ice pad xl
KNEE IMMOBILIZER (SMALL),95.0,knee immobilizer (small)
KNEE L MEDIAL STABILIZE INSERT SZ4 8MM,2676.0,knee l medial stabilize insert sz4 8mm
KNIFE MYRINGOTOMY SPEAR,53.0,knife myringotomy spear
KNOT PUSHER/SUTURE CUT W/PORTAL SKID,484.0,knot pusher/suture cut w/portal skid
KNOTLESS 2.6FBERTCK SFT ANCHR 1.7MM #2,1768.0,knotless 2.6fbertck sft anchr 1.7mm #2
KNOTLESS 2.6FBTCK SFT ANCHR 1.7MM LOOP#2,1768.0,knotless 2.6fbtck sft anchr 1.7mm loop#2
LABETALOL (TRANDATE) 100MG TAB,2.5,labetalol (trandate) 100mg tab
LABETALOL SYR [20 MG/5 mL],41.0,labetalol syr [20 mg/5 ml]
LABOR SERVICE LEVEL 1 (PLAN C-SEC),225.0,labor service level 1 (plan c-sec)
LABOR SERVICE LEVEL 3 (9-16 HRS),1785.0,labor service level 3 (9-16 hrs)
LACERATION REP 12.6-20.0CM,360.0,laceration rep 12.6-20.0cm
LACERATION REP 2.5CM,260.0,laceration rep 2.5cm
LACERATION REP 2.6-7.5CM,280.0,laceration rep 2.6-7.5cm
LACERATION REP 7.6-12.5CM,325.0,laceration rep 7.6-12.5cm
LACOSAMIDE (VIMPAT),218.0,lacosamide (vimpat)
LACTATED RINGERS 1000ML,40.0,lactated ringers 1000ml
LACTATED RINGERS IRRG BAG [3000 mL],54.0,lactated ringers irrg bag [3000 ml]
LACTULOSE ORAL SOLN [10 GM / 15 ML],5.0,lactulose oral soln [10 gm / 15 ml]
LAMOTRIGINE LEVEL,190.0,lamotrigine level
LAMOTRIGINE TAB [25 MG],2.5,lamotrigine tab [25 mg]
LANOXIN .125MG TAB,2.5,lanoxin .125mg tab
LANOXIN .5MG/2ML AMP IM/IV,22.0,lanoxin .5mg/2ml amp im/iv
LANSOPRAZOLE SUSP [450 MG / 150 mL],155.0,lansoprazole susp [450 mg / 150 ml]
LANTUS SOLOSTAR,57.0,lantus solostar
LAP INGUINAL HERNIA REPAIR W/MESH,5460.0,lap inguinal hernia repair w/mesh
LAPAR ASSISTED VAG HYSTERECTOMY,7250.0,lapar assisted vag hysterectomy
LAPAROSCOPIC REPR RECUR INGUINAL HERNIA,3855.0,laparoscopic repr recur inguinal hernia
LAPAROSCOPY APPENDECTOMY,5990.0,laparoscopy appendectomy
LAPAROSCOPY CHOLECYSTECTOMY,5740.0,laparoscopy cholecystectomy
LAPAROSCOPY PACK,109.0,laparoscopy pack
LAPAROSCOPY PACK 1 88088,55.0,laparoscopy pack 1 88088
"LAPAROSCOPY, SUGICAL; JEJUNOSTOMY",4865.0,"laparoscopy, sugical; jejunostomy"
"LAPAROSCOPY, SURGICAL, ENTEROLYSIS",7210.0,"laparoscopy, surgical, enterolysis"
LAPAROTOMY PACK IV 88241,57.0,laparotomy pack iv 88241
LAPS SURG CHOLECYSTECTOMY W/ CHOLANGIOGR,6000.0,laps surg cholecystectomy w/ cholangiogr
LARYNGOSCOPY FLEXIBLE DIAGNOSTIC,425.0,laryngoscopy flexible diagnostic
LASIX 20MG TAB,2.5,lasix 20mg tab
LASIX 40MG TAB,2.5,lasix 40mg tab
LASIX 40MG/4ML VIAL IV,10.0,lasix 40mg/4ml vial iv
LATANOPROST OPTH 2.5 mL [0.005%],14.0,latanoprost opth 2.5 ml [0.005%]
LDH (LACTIC DEHYDROGENASE) BLOOD,80.0,ldh (lactic dehydrogenase) blood
"LDL, DIRECT",75.0,"ldl, direct"
LEAD WHOLE BLOOD,85.0,lead whole blood
LEVALBUTEROL NEB [1.25 MG / 0.5 ML],17.0,levalbuterol neb [1.25 mg / 0.5 ml]
LEVAQUIN 250MG TAB,2.5,levaquin 250mg tab
LEVAQUIN 500MG/100ML BAG IV,41.0,levaquin 500mg/100ml bag iv
LEVAQUIN 750MG/150ML BAG IV,15.0,levaquin 750mg/150ml bag iv
LEVETIRACETAM TAB [500 MG],2.5,levetiracetam tab [500 mg]
LEVETIRACETAM VIAL [500 MG / 5 mL],53.0,levetiracetam vial [500 mg / 5 ml]
LEVONORGESTREL IUD [19.5 MG],1446.0,levonorgestrel iud [19.5 mg]
LEXAPRO 10MG TAB,2.5,lexapro 10mg tab
LEXISCAN 0.4MG/5ML SYRINGE IV,479.0,lexiscan 0.4mg/5ml syringe iv
LIDOCAINE 2% SYRN [100 MG/5 mL],35.0,lidocaine 2% syrn [100 mg/5 ml]
LIDOCAINE 2% VISCOUS 15ML,18.0,lidocaine 2% viscous 15ml
LIDOCAINE PATCH [5%],7.0,lidocaine patch [5%]
LIDOCAINE PF AMP 4% [5 mL],17.0,lidocaine pf amp 4% [5 ml]
LIDOCAINE PF VIAL 1% [5 mL],11.0,lidocaine pf vial 1% [5 ml]
LIDOCAINE PF VIAL 2% [5 mL],10.0,lidocaine pf vial 2% [5 ml]
LIDOCAINE PF VIAL 30 mL [1%],15.0,lidocaine pf vial 30 ml [1%]
LIDOCAINE UROJET 2% [5 mL],16.0,lidocaine urojet 2% [5 ml]
"LIDOCAINE-EPI VIAL 1:100,000 [10 mL]",16.0,"lidocaine-epi vial 1:100,000 [10 ml]"
"LIDOCAINE-EPI VIAL 30 ML[1% - 1:200,000]",22.0,"lidocaine-epi vial 30 ml[1% - 1:200,000]"
LIGASURE 5MM-37CM RETRACT L-HOOK SEALER,1859.0,ligasure 5mm-37cm retract l-hook sealer
LIGASURE IMPACT INSTRUMENT,1278.0,ligasure impact instrument
LIGASURE LAP INSTRUM 5MM BLUNT TIP 37CM,1350.0,ligasure lap instrum 5mm blunt tip 37cm
LINACLOTIDE CAP [145 MCG],53.0,linaclotide cap [145 mcg]
LINAGLIPTIN TAB [5 MG],47.0,linagliptin tab [5 mg]
LIPASE,125.0,lipase
LIPID PANEL,145.0,lipid panel
LIPITOR 20 MG TAB,2.5,lipitor 20 mg tab
"LIPOPROTEIN, BLOOD; QUANT LIPOPROTEIN",179.0,"lipoprotein, blood; quant lipoprotein"
LIPPROTEIN-ASSOCIATED PHOSPHOLIPASE A2,130.0,lipprotein-associated phospholipase a2
LIPRPROTEIN,150.0,liprprotein
LIRAGLUTIDE PEN [18 MG / 3 mL],612.0,liraglutide pen [18 mg / 3 ml]
LISINOPRIL 20MG TAB,2.5,lisinopril 20mg tab
LISINOPRIL 5MG TAB,2.5,lisinopril 5mg tab
LITHIUM SERUM,119.0,lithium serum
LIVER DISEASE; 10 BIOCHEMICAL ASSAYS,770.0,liver disease; 10 biochemical assays
LOCKING SCREW 3.5MM X 10MM,948.0,locking screw 3.5mm x 10mm
LOCKING SCREW 3.5MM X 18MM,1208.0,locking screw 3.5mm x 18mm
LOCKING SCREW 3.5MM X 20MM,1208.0,locking screw 3.5mm x 20mm
LOCKING SCREW 3.5MM X 22MM,1066.0,locking screw 3.5mm x 22mm
LOCKING SCREW 3.5MM X 28MM,948.0,locking screw 3.5mm x 28mm
LOCKING SCREW 3.5MM XC 12MM,1208.0,locking screw 3.5mm xc 12mm
LOCKING SCREW 5.5MM X 24MM,382.0,locking screw 5.5mm x 24mm
LOCKING SCREW 5.5MM X 28MM,382.0,locking screw 5.5mm x 28mm
LOCKING SCREW 5.5MM X16MM,382.0,locking screw 5.5mm x16mm
LOCKING SCREW FIX 3.5HEX 4.75X15MM,480.0,locking screw fix 3.5hex 4.75x15mm
LOCKING SCREW FIX 3.5HEX 4.75X20MM,480.0,locking screw fix 3.5hex 4.75x20mm
LOCKING SCREW FIX 3.5HEX 4.75X25MM,480.0,locking screw fix 3.5hex 4.75x25mm
LOCKING SCREW FIX 3.5HEX 4.75X30MM,480.0,locking screw fix 3.5hex 4.75x30mm
LORATADINE TAB [10 MG],2.5,loratadine tab [10 mg]
LORAZEPAM ORAL SUSP [2 MG/ mL],58.0,lorazepam oral susp [2 mg/ ml]
LORAZEPAM TAB [0.5 MG],2.5,lorazepam tab [0.5 mg]
LORAZEPAM VIAL [2 MG/1 ML],15.0,lorazepam vial [2 mg/1 ml]
LOTRISONE 1%/0.05% 15GM CREAM,16.0,lotrisone 1%/0.05% 15gm cream
LOVENOX 30MG/0.3ML SYRING SUBQ,9.0,lovenox 30mg/0.3ml syring subq
LOVENOX 40MG/0.4ML SYRINGE SUBQ,12.0,lovenox 40mg/0.4ml syringe subq
LOW DOSE CT LUNG SCREENING,1900.0,low dose ct lung screening
LOW DOSE CT LUNG SCREENING CONSULTATION,50.0,low dose ct lung screening consultation
LOWER EXT VASCULAR STUDY BILAT,695.0,lower ext vascular study bilat
LUMASON VIAL (25 MG/5ML),101.0,lumason vial (25 mg/5ml)
LUMBAR PUNCTURE TRAY,173.0,lumbar puncture tray
LYME DISEASE,195.0,lyme disease
M PNEUMON DNA AMP PROBE,103.0,m pneumon dna amp probe
MAALOX 30ML ORAL SUSPENSION,8.0,maalox 30ml oral suspension
MAGNESIUM OXIDE 400MG TAB,2.5,magnesium oxide 400mg tab
MAGNESIUM PREMIX [1 GM / 100 mL],11.0,magnesium premix [1 gm / 100 ml]
MAGNESIUM SERUM,95.0,magnesium serum
MAGNESIUM VIAL [1 GM/2 mL],20.0,magnesium vial [1 gm/2 ml]
MALARIA SMEARS,140.0,malaria smears
MANIFOLD 4-PORT V2,79.0,manifold 4-port v2
MANIFOLD W/SPECIMEN TRAP NEPTUNE S,87.0,manifold w/specimen trap neptune s
MANIPULATION CHEST WALL,205.0,manipulation chest wall
MANIPULATION CHEST WALL SUBSEQUENT,240.0,manipulation chest wall subsequent
MANNITOL 25% VIAL [50 ML],11.0,mannitol 25% vial [50 ml]
MANUAL DIFFERENTIAL BLOOD SMEAR,70.0,manual differential blood smear
MASK AEROSOL PEDI DRAGON 001266,4.5,mask aerosol pedi dragon 001266
MASK ANES LG ADULT SZ 6,7.0,mask anes lg adult sz 6
MASK BREATHING CIRCUITS ADULT/CHILD,7.0,mask breathing circuits adult/child
MASK DISPOSABLE - SURGICAL,82.0,mask disposable - surgical
MASK O2 NEONATAL RESUSC SIZE 1,54.0,mask o2 neonatal resusc size 1
MASK RESUS MANUAL INFANT W/TUBING,46.0,mask resus manual infant w/tubing
MASS SPECTROMETRY-QUANTITATIVE,199.0,mass spectrometry-quantitative
MASTISOL,9.5,mastisol
MASTOTOMY EXPLOR/DRAIN ABSCESS; DEEP,3565.0,mastotomy explor/drain abscess; deep
MATERNAL QUAD SCREEN,221.0,maternal quad screen
MAXILLARY ANTROSTOMY; RMVL TISSUE,2875.0,maxillary antrostomy; rmvl tissue
MEASUREMENT CONTAINER,4.0,measurement container
MED NUTRITION THPY GROUP 30 MIN,13.0,med nutrition thpy group 30 min
MED NUTRITION THPY GROUP CHG DX 30 MIN,13.0,med nutrition thpy group chg dx 30 min
MED NUTRITION THPY INDIV CHG DX 15 MIN,13.0,med nutrition thpy indiv chg dx 15 min
MED NUTRITION THPY INDIV INITIAL 15 MIN,13.0,med nutrition thpy indiv initial 15 min
MED NUTRITION THPY INDIV REASSMT 15 MIN,13.0,med nutrition thpy indiv reassmt 15 min
MEDICARE RHC TELEHEALTH,120.0,medicare rhc telehealth
MEDICARE SCREENING EKG INTERP ONLY,45.0,medicare screening ekg interp only
MEDICARE SCREENING EKG TRACING,70.0,medicare screening ekg tracing
MEDICATION SUPERVISION,165.0,medication supervision
MELATONIN TAB [3 MG],2.5,melatonin tab [3 mg]
MELOXICAM TAB [7.5 MG],2.5,meloxicam tab [7.5 mg]
MEMANTINE TAB [5 MG],2.5,memantine tab [5 mg]
MEPERIDINE VIAL [50 MG],18.0,meperidine vial [50 mg]
MEROPENEM VIAL [500 MG],13.0,meropenem vial [500 mg]
MESH BARD SURGICAL PLUG 1.5 X 1.9,1384.0,mesh bard surgical plug 1.5 x 1.9
MESH HERNIA 6X6,559.0,mesh hernia 6x6
"MESH PHASIX PLUG AND PATCH 1.4"" X 2""",1395.0,"mesh phasix plug and patch 1.4"" x 2"""
MESH SURGICAL HERNIA,1863.0,mesh surgical hernia
"MESH SURGICAL LARGE LEFT 4""X6""",470.0,"mesh surgical large left 4""x6"""
"MESH SURGICAL VENTRALIGHT ST 8""X10""",2377.0,"mesh surgical ventralight st 8""x10"""
MESH TISSUE REINFORCEMENT GORE,1574.0,mesh tissue reinforcement gore
"METANEPHRINES,24HR UA",279.0,"metanephrines,24hr ua"
METATARSAL REAMER 22MM,1500.0,metatarsal reamer 22mm
METHERGINE 0.2MG/1ML AMPULE IV/IM,78.0,methergine 0.2mg/1ml ampule iv/im
METHOCARBAMOL TAB [500 MG],2.5,methocarbamol tab [500 mg]
METHYLENE BLUE AMP [0.5%] 10 mL,406.0,methylene blue amp [0.5%] 10 ml
METHYLENE BLUE SYR [20 MG / 2 mL],113.0,methylene blue syr [20 mg / 2 ml]
METHYLMALONIC ACID LEVEL,342.0,methylmalonic acid level
METHYLPREDNISOLONE VIAL [1 GM],162.0,methylprednisolone vial [1 gm]
METOLAZONE TAB [2.5 MG],3.0,metolazone tab [2.5 mg]
METOPROLOL 25MG TAB,2.5,metoprolol 25mg tab
METOPROLOL 50MG TAB,2.5,metoprolol 50mg tab
METOPROLOL 5MG/5ML VIAL SOL IV,10.0,metoprolol 5mg/5ml vial sol iv
METRONIDAZOLE TAB [250 MG],2.5,metronidazole tab [250 mg]
MIACALCIN 200 UNITS/ ACT[3.7 ML],49.0,miacalcin 200 units/ act[3.7 ml]
MICAFUNGIN VIAL [100 MG],439.0,micafungin vial [100 mg]
MICROALBUMIN URINE,125.0,microalbumin urine
MICROBE SUSCEPTIBLE DISK,165.0,microbe susceptible disk
MICROSOMAL ANTIBODY,141.0,microsomal antibody
MIDAZOLAM VIAL PER 1 MG,10.0,midazolam vial per 1 mg
MIDODRINE TAB [2.5 MG],3.0,midodrine tab [2.5 mg]
MILK OF MAGNESIA 30ML ORAL SUSPENSION,5.0,milk of magnesia 30ml oral suspension
MIRALAX 17GM POWDER,5.0,miralax 17gm powder
"MITOCHONDRIAL ANTIBODY, EACH",170.0,"mitochondrial antibody, each"
MOLECULAR PATH PROCEDURE LEVEL 5,459.0,molecular path procedure level 5
MOLECULAR PATH PROCEDURE LVEL 6,306.0,molecular path procedure lvel 6
MOLECULAR PATHOLOGY PROCEDURE LEVEL 9,2040.0,molecular pathology procedure level 9
MOLECULAR RBC PANEL,640.0,molecular rbc panel
MONONUCLEOSIS SCREEN(GROUP B STREP),90.0,mononucleosis screen(group b strep)
MORGAN THERAPEUTIC LENS,203.0,morgan therapeutic lens
MORPHINE ER TAB [30 MG],4.0,morphine er tab [30 mg]
MORPHINE ORAL CONC [20 MG / mL],2.5,morphine oral conc [20 mg / ml]
MORPHINE SULFATE 10MG/1ML CARPUJECT,15.0,morphine sulfate 10mg/1ml carpuject
MORPHINE SULFATE 2 MG/1ML CARPUJECT,15.0,morphine sulfate 2 mg/1ml carpuject
MORPHINE SULFATE 30MG/30ML PCA SYRINGE,56.0,morphine sulfate 30mg/30ml pca syringe
MORPHOMETRIC ANALYSIS INSITU QUANT/SEMI,300.0,morphometric analysis insitu quant/semi
"MORPHOMETRIC ANALYSIS, TUMOR IMMUNOHISTO",240.0,"morphometric analysis, tumor immunohisto"
MOXIFLOXACIN OPTH SOLN 3 mL [0.5%],65.0,moxifloxacin opth soln 3 ml [0.5%]
MRA ABDOMEN W/WO CONTRAST,2830.0,mra abdomen w/wo contrast
MRA HEAD W/O CONTRAST,3500.0,mra head w/o contrast
MRA NECK W & W/O CONTRAST MATERIAL,3700.0,mra neck w & w/o contrast material
MRA OF THE HEAD W/WO CONTRST,4050.0,mra of the head w/wo contrst
MRI ABDOMEN W & W/O CONTRAST,4285.0,mri abdomen w & w/o contrast
"MRI ABDOMEN, W/O CONTRAST",3270.0,"mri abdomen, w/o contrast"
MRI ANY UP EXTREMITY JOINT WO CONTRAST,2705.0,mri any up extremity joint wo contrast
MRI BRAIN W & W/O CONTRAST,4150.0,mri brain w & w/o contrast
MRI BRAIN W/ CONTRAST,3805.0,mri brain w/ contrast
MRI BRAIN W/O DYE,3666.0,mri brain w/o dye
MRI CERVICAL SPINE W/CONTRAST,3540.0,mri cervical spine w/contrast
MRI CERVICAL SPINE W/O CONTRAST,3555.0,mri cervical spine w/o contrast
MRI CERVICAL SPINE W/WO CONTRAST,4500.0,mri cervical spine w/wo contrast
MRI LOWER EXTREMITY JOINT W/CONTRAST,2335.0,mri lower extremity joint w/contrast
MRI LOWER EXTREMITY W/CONT NONJOINT,3175.0,mri lower extremity w/cont nonjoint
MRI LOWER EXTREMITY W/O CONTRST NONJOINT,2832.0,mri lower extremity w/o contrst nonjoint
MRI LOWER JOINTS W/O CONTRAST,2730.0,mri lower joints w/o contrast
MRI LUMBAR SPINE W/WO CONTRAST,4300.0,mri lumbar spine w/wo contrast
MRI LUMBAR SPINE WITH CONTRAST,3505.0,mri lumbar spine with contrast
MRI LUMBAR SPNE W/O CONTRAST,3350.0,mri lumbar spne w/o contrast
MRI LWR EXTREMITY W/WO CONT NONJOINT,3350.0,mri lwr extremity w/wo cont nonjoint
MRI OF LOWER JOINT W/WOUT CONTRAST,3400.0,mri of lower joint w/wout contrast
"MRI ORBIT,FACE,NECK W/O & W CONTRAST",3600.0,"mri orbit,face,neck w/o & w contrast"
MRI PELVIS W/O CONTRAST,3195.0,mri pelvis w/o contrast
MRI PELVIS WITH/WITHOUT CONTRAST,4100.0,mri pelvis with/without contrast
MRI THORACIC SPINE W/ CONTRAST,3505.0,mri thoracic spine w/ contrast
MRI THORACIC SPINE W/O CONTRAST,3600.0,mri thoracic spine w/o contrast
MRI THORACIC SPINE W/WOUT CONTRAST,4330.0,mri thoracic spine w/wout contrast
MRI UPPER EXT JOINT W/WO CONTRAST,3785.0,mri upper ext joint w/wo contrast
"MRI UPPER EXTREMITY W/O,  NON-JOINT",2855.0,"mri upper extremity w/o, non-joint"
MRI UPPER EXTREMITY W/WO CONT NON-JOINT,3300.0,mri upper extremity w/wo cont non-joint
MRSA BY PCR,128.0,mrsa by pcr
MULTI-VITAMIN FOR VISION,2.5,multi-vitamin for vision
MULTIVITAMIN TAB,2.5,multivitamin tab
MUMPS AB IGG IGM,110.0,mumps ab igg igm
MUPIROCIN OINT [22 GM],8.0,mupirocin oint [22 gm]
MYELOID MALIGNANCIES MUTATION PANEL,2270.0,myeloid malignancies mutation panel
MYOCARDIAL STRAIN IMAGING,135.0,myocardial strain imaging
MYOGLOBIN,155.0,myoglobin
MYRINGOTOMY W/ASPIRATION OR TUBE,425.0,myringotomy w/aspiration or tube
NARCAN 2MG/2ML SYRINGE SOL IV,48.0,narcan 2mg/2ml syringe sol iv
"NASAL ENDOSCOPY, RIGID, DIAGNOSTIC",180.0,"nasal endoscopy, rigid, diagnostic"
NASAL PACKING 8.0 CM,30.0,nasal packing 8.0 cm
NASOGASTRIC TUBE 18F WITH REFLEX VALVE,15.0,nasogastric tube 18f with reflex valve
NASOPHARYNGOSCOPY W/ENDOSCOPE SPX,270.0,nasopharyngoscopy w/endoscope spx
NATRIURETIC PEPTIDE (BNP),290.0,natriuretic peptide (bnp)
NEBIVOLOL TAB [5 MG],2.5,nebivolol tab [5 mg]
NEBULIZER BREATH ACTUATED,21.0,nebulizer breath actuated
NEBULIZER CONTINUOUS MED VOLUME,25.0,nebulizer continuous med volume
NEBULIZER HANDHELD FILTERED,22.0,nebulizer handheld filtered
NEBULIZER MICRO MIST W/TEE,4.5,nebulizer micro mist w/tee
NEEDLE FOR SUTURE PASSER,644.0,needle for suture passer
"NEEDLE SPINAL PENCAN 24GX4""",305.0,"needle spinal pencan 24gx4"""
NEEDLE STIMUPLEX ULTRA 60 INSUL ECHO 20G,52.0,needle stimuplex ultra 60 insul echo 20g
